Order ID,Order Date,Customer ID,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,City
ORD-1170,2024-04-10,CUST-35,Chairs - Model 34,Furniture,Chairs,433.25,1,0.4,49.57,South,Chicago
ORD-1171,2024-06-04,CUST-278,Bookcases - Model 18,Furniture,Bookcases,395.91,2,0.48,39.9,West,Chicago
ORD-1172,2024-09-05,CUST-175,Paper - Model 32,Office Supplies,Paper,326.72,5,0.01,91.32,West,Houston
ORD-1173,2024-08-03,CUST-215,Laptops - Model 49,Technology,Laptops,493.08,9,0.44,42.1,West,Houston
ORD-1174,2024-12-05,CUST-269,Binders - Model 18,Office Supplies,Binders,97.54,6,0.05,11.72,Central,Houston
ORD-1175,2024-02-12,CUST-230,Pens - Model 29,Office Supplies,Pens,347.43,3,0.26,39.33,Central,Los Angeles
ORD-1176,2024-04-03,CUST-294,Laptops - Model 4,Technology,Laptops,494.67,1,0.08,98.38,South,Chicago
ORD-1177,2024-07-09,CUST-38,Laptops - Model 6,Technology,Laptops,118.79,4,0.15,25.06,Central,Houston
ORD-1178,2024-02-09,CUST-171,Tables - Model 14,Furniture,Tables,341.49,7,0.29,61.51,East,Houston
ORD-1179,2024-07-20,CUST-121,Laptops - Model 23,Technology,Laptops,301.41,1,0.34,41.81,East,Los Angeles
ORD-1180,2024-05-31,CUST-164,Paper - Model 13,Office Supplies,Paper,206.6,10,0.2,47.47,Central,Chicago
ORD-1181,2024-02-12,CUST-172,Phones - Model 11,Technology,Phones,199.49,10,0.22,36.22,West,Houston
ORD-1182,2024-01-18,CUST-219,Pens - Model 45,Office Supplies,Pens,414.12,9,0.15,89.03,Central,Houston
ORD-1183,2024-08-07,CUST-249,Phones - Model 6,Technology,Phones,378.71,4,0.39,45.14,South,Phoenix
ORD-1184,2024-03-29,CUST-6,Paper - Model 30,Office Supplies,Paper,223.54,4,0.36,28.25,West,Los Angeles
ORD-1185,2024-08-23,CUST-284,Binders - Model 47,Office Supplies,Binders,394.27,5,0.34,59.28,Central,Houston
ORD-1186,2024-03-14,CUST-49,Bookcases - Model 14,Furniture,Bookcases,398.77,4,0.15,81.07,West,New York
ORD-1187,2024-03-07,CUST-90,Tables - Model 40,Furniture,Tables,472.6,7,0.27,83.25,East,New York
ORD-1188,2024-11-18,CUST-64,Pens - Model 42,Office Supplies,Pens,138.13,6,0.33,17.38,East,Los Angeles
ORD-1189,2024-04-20,CUST-87,Chairs - Model 25,Furniture,Chairs,346.65,8,0.33,36.32,East,New York
ORD-1190,2024-04-23,CUST-125,Tables - Model 1,Furniture,Tables,55.34,9,0.09,5.28,South,Los Angeles
ORD-1191,2024-11-25,CUST-159,Accessories - Model 34,Technology,Accessories,52.0,2,0.17,7.59,South,Houston
ORD-1192,2024-01-25,CUST-287,Bookcases - Model 24,Furniture,Bookcases,157.89,9,0.25,21.51,South,Los Angeles
ORD-1193,2024-02-11,CUST-289,Binders - Model 15,Office Supplies,Binders,32.75,1,0.04,6.85,East,Chicago
ORD-1194,2024-05-02,CUST-44,Binders - Model 21,Office Supplies,Binders,84.64,8,0.11,10.82,West,Phoenix
ORD-1195,2024-07-18,CUST-97,Tables - Model 16,Furniture,Tables,371.39,3,0.08,91.44,East,Los Angeles
ORD-1196,2024-05-29,CUST-115,Accessories - Model 28,Technology,Accessories,273.54,7,0.43,33.5,South,Phoenix
ORD-1197,2024-04-21,CUST-194,Paper - Model 26,Office Supplies,Paper,431.79,9,0.18,84.69,South,Chicago
ORD-1198,2024-01-16,CUST-85,Paper - Model 37,Office Supplies,Paper,178.03,7,0.06,22.87,Central,New York
ORD-1199,2024-03-25,CUST-46,Accessories - Model 45,Technology,Accessories,180.33,7,0.33,23.48,East,New York
ORD-1200,2024-08-24,CUST-238,Chairs - Model 28,Furniture,Chairs,418.64,2,0.38,38.94,South,New York
ORD-1201,2024-02-20,CUST-193,Pens - Model 14,Office Supplies,Pens,84.17,1,0.13,11.0,West,Los Angeles
ORD-1202,2024-03-03,CUST-292,Phones - Model 36,Technology,Phones,79.42,8,0.39,12.02,South,Los Angeles
ORD-1203,2024-01-27,CUST-195,Paper - Model 3,Office Supplies,Paper,106.67,1,0.36,17.54,East,Houston
ORD-1204,2024-02-26,CUST-27,Binders - Model 48,Office Supplies,Binders,300.24,5,0.12,77.54,South,New York
ORD-1205,2024-04-09,CUST-162,Pens - Model 28,Office Supplies,Pens,60.93,4,0.41,4.82,East,Chicago
ORD-1206,2024-04-30,CUST-274,Phones - Model 2,Technology,Phones,329.37,4,0.44,20.07,East,Chicago
ORD-1207,2024-12-13,CUST-114,Phones - Model 8,Technology,Phones,473.94,7,0.28,60.62,East,Los Angeles
ORD-1208,2024-02-16,CUST-170,Chairs - Model 31,Furniture,Chairs,138.87,2,0.27,16.84,South,New York
ORD-1209,2024-05-15,CUST-38,Chairs - Model 17,Furniture,Chairs,197.79,5,0.21,18.83,South,Phoenix
ORD-1210,2024-10-31,CUST-30,Paper - Model 27,Office Supplies,Paper,246.6,9,0.02,35.23,East,Los Angeles
ORD-1211,2024-03-02,CUST-170,Binders - Model 21,Office Supplies,Binders,164.34,5,0.49,22.49,Central,Los Angeles
ORD-1212,2024-07-04,CUST-88,Pens - Model 17,Office Supplies,Pens,80.97,3,0.48,9.61,South,Phoenix
ORD-1213,2024-05-17,CUST-77,Tables - Model 16,Furniture,Tables,367.73,6,0.08,92.07,East,Chicago
ORD-1214,2024-02-01,CUST-27,Binders - Model 26,Office Supplies,Binders,267.37,9,0.41,44.67,West,Phoenix
ORD-1215,2024-09-29,CUST-141,Chairs - Model 24,Furniture,Chairs,117.12,10,0.38,8.38,South,Los Angeles
ORD-1216,2024-01-27,CUST-121,Chairs - Model 9,Furniture,Chairs,182.19,5,0.07,20.08,Central,Phoenix
ORD-1217,2024-06-21,CUST-12,Pens - Model 27,Office Supplies,Pens,140.28,5,0.0,27.31,East,Chicago
ORD-1218,2024-02-23,CUST-27,Paper - Model 4,Office Supplies,Paper,35.48,8,0.08,7.85,West,New York
ORD-1219,2024-06-03,CUST-113,Tables - Model 47,Furniture,Tables,454.71,3,0.42,27.0,West,Houston
ORD-1220,2024-06-06,CUST-3,Phones - Model 32,Technology,Phones,275.03,4,0.15,28.98,West,New York
ORD-1221,2024-12-11,CUST-258,Binders - Model 1,Office Supplies,Binders,39.78,9,0.02,6.86,Central,Los Angeles
ORD-1222,2024-12-25,CUST-212,Tables - Model 28,Furniture,Tables,81.45,6,0.44,11.69,Central,Los Angeles
ORD-1223,2024-07-09,CUST-227,Bookcases - Model 50,Furniture,Bookcases,204.91,10,0.48,18.47,South,Houston
ORD-1224,2024-06-21,CUST-22,Tables - Model 7,Furniture,Tables,127.2,1,0.19,22.31,Central,Chicago
ORD-1225,2024-10-06,CUST-20,Phones - Model 41,Technology,Phones,408.94,7,0.29,71.69,West,Phoenix
ORD-1226,2024-08-28,CUST-21,Pens - Model 31,Office Supplies,Pens,131.09,8,0.11,13.73,South,Chicago
ORD-1227,2024-07-12,CUST-13,Laptops - Model 28,Technology,Laptops,82.58,9,0.06,15.0,Central,Houston
